rows=8433
cols=3180
(0, 1365, -763)
(0, 2128, -919)
(0, 3367, 244)
(0, 400, -121)
(0, 639, -819)
(0, 2112, -747)
(0, 1045, -558)
(0, 301, -708)
(0, 1306, -608)
(0, 1425, 24)
(0, 3478, -350)
(0, 602, -600)
(0, 1424, -661)
(0, 1485, -857)
(0, 3224, -681)
(0, 3903, 799)
(0, 430, 354)
(0, 619, 830)
(0, 150, -700)
(0, 1965, -538)
(0, 1160, -1012)
(0, 1046, 660)
(0, 1252, -802)
(0, 1916, -317)
(0, 1611, 228)
(0, 792, -635)
(1, 2374, -201)
(1, 481, -294)
(1, 833, -631)
(1, 2677, -96)
(1, 3517, 408)
(1, 3942, 937)
(1, 3225, -848)
(1, 3428, -524)
(1, 3396, -715)
(1, 1265, -817)
(1, 2304, -739)
(1, 1237, -575)
(1, 3307, -649)
(1, 1063, -810)
(1, 342, -690)
(1, 2552, -742)
(1, 1050, -936)
(1, 1018, 899)
(1, 572, -613)
(1, 1482, -370)
(1, 270, -908)
(1, 242, -604)
(1, 1884, -518)
(1, 17, 128)
(1, 3866, 426)
(1, 754, 482)
(1, 1616, 135)
(1, 296, -50)
(1, 1312, -271)
(1, 1862, 999)
(1, 718, 424)
(1, 1848, -925)
(1, 183, 908)
(1, 2890, 109)
(1, 2242, -911)
(1, 3633, 40)
(1, 1803, 542)
(1, 244, -803)
(1, 3755, 437)
(1, 1411, 489)
(1, 1223, -862)
(1, 1331, 179)
(1, 1983, -322)
(1, 1, -685)
(1, 2033, -14)
(1, 62, -997)
(1, 1307, -548)
(1, 2292, -559)
(2, 1627, 34)
(2, 2256, 256)
(2, 348, 577)
(2, 1980, -858)
(2, 6, -734)
(2, 1065, -807)
(2, 1909, 44)
(2, 710, -528)
(2, 79, -704)
(2, 1811, -825)
(2, 1123, -758)
(2, 654, -449)
(3, 280, 1004)
(3, 1426, -585)
(3, 1416, -805)
(3, 1882, -889)
(3, 389, -1003)
(3, 1303, -731)
(3, 1141, 420)
(3, 3172, -727)
(3, 1206, -202)
(3, 1665, -549)
(3, 1305, -243)
(3, 741, -574)
(3, 2580, -572)
(3, 1834, 803)
(3, 2400, -716)
(3, 909, -697)
(3, 1689, -560)
(3, 2641, -190)
(3, 2085, 442)
(3, 1175, 18)
(3, 1351, -965)
(3, 442, -84)
(3, 930, 340)
(3, 3306, 455)
(3, 668, -534)
(3, 739, -481)
(3, 2911, -630)
(3, 2176, -680)
(3, 3597, -562)
(3, 787, -684)
(3, 1559, 111)
(3, 833, -979)
(3, 299, 929)
(3, 1273, -854)
(3, 1477, -205)
(3, 1977, -1017)
(3, 756, -600)
(3, 1807, 841)
(3, 354, -587)
(3, 3769, 106)
(3, 1884, -864)
(3, 1931, -897)
(3, 1312, -122)
(3, 548, -1002)
(3, 1252, -938)
(3, 387, 593)
(3, 2267, 598)
(3, 142, -685)
(3, 1579, 694)
(3, 1850, 506)
(3, 1377, -957)
(3, 1274, -817)
(3, 2506, -710)
(3, 1070, -594)
(3, 774, 170)
(3, 574, 122)
(3, 1129, -649)
(3, 1539, 71)
(3, 96, -279)
(3, 509, -965)
(3, 207, -950)
(3, 297, -741)
(3, 1230, 585)
(3, 2022, -950)
(3, 662, -626)
(3, 3324, -624)
(3, 989, -662)
(3, 730, -474)
(3, 60, -894)
(3, 606, -564)
(3, 1921, -982)
(3, 3658, -964)
(3, 562, -78)
(3, 1303, 790)
(3, 824, -951)
(3, 671, 1009)
(3, 458, -894)
(3, 3282, -997)
(3, 180, -678)
(3, 2696, 412)
(3, 3698, 695)
(3, 874, -834)
(3, 723, -726)
(3, 685, -958)
(3, 1508, -390)
(3, 471, -505)
(3, 1513, -862)
(3, 1722, -930)
(3, 711, -792)
(3, 3930, 3)
(3, 1430, -553)
(3, 1065, -716)
(3, 941, 661)
(3, 59, 13)
(3, 1983, -697)
(3, 3007, 168)
(3, 2177, -519)
(3, 2023, -709)
(3, 1080, -1010)
(3, 1892, 1)
(3, 1517, 82)
(3, 3124, -985)
(3, 828, -573)
(3, 115, -734)
(3, 696, -777)
(3, 303, -954)
(3, 434, 346)
(3, 2853, -787)
(3, 3593, -564)
(3, 3549, -945)
(3, 2557, -728)
(3, 3846, -1000)
(4, 1901, -758)
(4, 2436, -878)
(4, 306, -647)
(4, 1479, -596)
(4, 293, -569)
(4, 234, -317)
(4, 252, -135)
(4, 1281, -960)
(4, 119, 386)
(4, 1815, 593)
(4, 1323, -713)
(4, 1105, -799)
(4, 1839, -219)
(5, 113, -995)
(5, 661, -770)
(5, 2896, -595)
(5, 3696, -785)
(5, 915, -925)
